%time soc i_tot i_mcu i_rf i_pv v_pv real_i_pv i_batt v_batt i_air_quality_sensor i_methane_sensor i_temperature_sensor i_mic_click_sensor
100 0.999857673188 0.011 0.002 0.001 0 0 0 0.0259464669654 4.56900536754 0.002 0.002 0.002 0.002
101 0.999857670936 0.011 0.002 0.001 0 0 0 0.0259464670548 4.5690053518 0.002 0.002 0.002 0.002
102 0.999857668684 0.011 0.002 0.001 0 0 0 0.0259464671442 4.56900533605 0.002 0.002 0.002 0.002
103 0.999857666431 0.011 0.002 0.001 0 0 0 0.0259464672336 4.56900532031 0.002 0.002 0.002 0.002
104 0.999857664179 0.011 0.002 0.001 0 0 0 0.025946467323 4.56900530456 0.002 0.002 0.002 0.002
105 0.999857661927 0.011 0.002 0.001 0 0 0 0.0259464674124 4.56900528882 0.002 0.002 0.002 0.002
106 0.999857659674 0.011 0.002 0.001 0 0 0 0.0259464675018 4.56900527308 0.002 0.002 0.002 0.002
107 0.999857657422 0.011 0.002 0.001 0 0 0 0.0259464675912 4.56900525733 0.002 0.002 0.002 0.002
108 0.99985765517 0.011 0.002 0.001 0 0 0 0.0259464676807 4.56900524159 0.002 0.002 0.002 0.002
109 0.999857652918 0.011 0.002 0.001 0 0 0 0.0259464677701 4.56900522585 0.002 0.002 0.002 0.002
110 0.999857650665 0.011 0.002 0.001 0 0 0 0.0259464678595 4.5690052101 0.002 0.002 0.002 0.002
111 0.999857648413 0.011 0.002 0.001 0 0 0 0.0259464679489 4.56900519436 0.002 0.002 0.002 0.002
112 0.999857646161 0.011 0.002 0.001 0 0 0 0.0259464680383 4.56900517861 0.002 0.002 0.002 0.002
113 0.999857643908 0.011 0.002 0.001 0 0 0 0.0259464681277 4.56900516287 0.002 0.002 0.002 0.002
114 0.999857641656 0.011 0.002 0.001 0 0 0 0.0259464682171 4.56900514713 0.002 0.002 0.002 0.002
115 0.999857639404 0.011 0.002 0.001 0 0 0 0.0259464683065 4.56900513138 0.002 0.002 0.002 0.002
116 0.999857637151 0.011 0.002 0.001 0 0 0 0.0259464683959 4.56900511564 0.002 0.002 0.002 0.002
117 0.999857634899 0.011 0.002 0.001 0 0 0 0.0259464684853 4.5690050999 0.002 0.002 0.002 0.002
118 0.999857632647 0.011 0.002 0.001 0 0 0 0.0259464685747 4.56900508415 0.002 0.002 0.002 0.002
119 0.999857630395 0.011 0.002 0.001 0 0 0 0.0259464686641 4.56900506841 0.002 0.002 0.002 0.002
