Image; brightness_0.5_boost_1.0; brightness_0.5_boost_1.1; brightness_0.5_boost_1.2; brightness_0.5_boost_1.3; brightness_0.5_boost_1.4; brightness_0.6_boost_1.0; brightness_0.6_boost_1.1; brightness_0.6_boost_1.2; brightness_0.6_boost_1.3; brightness_0.6_boost_1.4; brightness_0.7_boost_1.0; brightness_0.7_boost_1.1; brightness_0.7_boost_1.2; brightness_0.7_boost_1.3; brightness_0.7_boost_1.4; brightness_0.8_boost_1.0; brightness_0.8_boost_1.1; brightness_0.8_boost_1.2; brightness_0.8_boost_1.3; brightness_0.8_boost_1.4; Histogram Equalization; CLAHE
images\BSR\BSDS500\test\123057.jpg; 6.725086951847044; 6.04160596375477; 5.360871610861002; 4.68769574331833; 4.028145900970359; 5.3527041928318395; 4.550126307349064; 3.7543359835541557; 2.98166753366969; 2.2250424005912226; 4.011214490477412; 3.0977639704820996; 2.217292876260423; 1.3783337074427395; 0.7216554208464695; 2.6965519365466504; 1.7142083035617088; 0.8608426083948401; 0.7920831931227726; 1.5744066282686133; 2.384458624129333; 1.6809344711678398
images\BSR\BSDS500\test\128035.jpg; 8.144825171321173; 7.294904200303286; 6.46170386439147; 5.6355260660814945; 4.823234423483029; 6.457497332316818; 5.462418509784994; 4.498855785680123; 3.56062272828361; 2.638788198378195; 4.8153887116295335; 3.7000463719532264; 2.6357033301269004; 1.6188094847253178; 0.7960731469790977; 3.227667472666272; 2.0366860676844882; 0.9816073136115402; 0.8440594706800886; 1.529727244219932; 3.1055931054529387; 1.6864166881846714
images\BSR\BSDS500\test\130014.jpg; 7.20591546604243; 6.566559777493633; 5.938141558946974; 5.320033643948184; 4.716486331565477; 5.715228748397762; 4.977361115057181; 4.248191341677926; 3.544065791283515; 2.8488107897180153; 4.280082431201839; 3.442353852498406; 2.6357511725472746; 1.8731538247034416; 1.2867296900120744; 2.880050214598674; 1.9787412998814442; 1.207046703362667; 1.132087836280364; 1.821646058186213; 3.7893005121341576; 2.995521295447138
images\BSR\BSDS500\test\130066.jpg; 6.964500626457988; 6.3286991878467465; 5.6918810185733975; 5.070729939317309; 4.454225838290786; 5.528791937075317; 4.785713435940302; 4.046817745788997; 3.3225553609427445; 2.614985887127815; 4.13312131790969; 3.2822364196528606; 2.457632569629521; 1.66415720348414; 1.0102144743259425; 2.761475954051334; 1.8421557702663585; 1.007123605018751; 0.9449554112269701; 1.7016700677656724; 2.406779807914361; 1.5055739713729348
images\BSR\BSDS500\test\134049.jpg; 6.421730667894578; 6.043085754613644; 5.656201784633252; 5.291066441689843; 4.927218781991549; 5.139998918128061; 4.695738097513985; 4.2622071345545125; 3.8601646727287346; 3.4771827010141885; 3.908416768850018; 3.418951525380075; 2.9789129668134096; 2.5978032632903822; 2.362059697491624; 2.7365060791266305; 2.268450065012064; 1.9333921928979894; 1.8843918337994081; 2.147647094969183; 2.4805202138909115; 1.708853870822834
images\BSR\BSDS500\test\134067.jpg; 7.168481224441864; 6.478546073366124; 5.7969538347124185; 5.132067646476585; 4.481813424417071; 5.721057004933635; 4.920837256971492; 4.139884555131368; 3.4019791664435637; 2.6809864665378593; 4.334223588816676; 3.446415590043906; 2.6090530029266352; 1.8721109031296386; 1.3776234341369453; 3.001741999429278; 2.1017400412345273; 1.4094478708189855; 1.2864682295148726; 1.6712193795703885; 2.4420909228720813; 2.363107158650148
images\BSR\BSDS500\test\140006.jpg; 7.850665102963415; 7.066253227069254; 6.277706822720648; 5.502084991176086; 4.748766954203228; 6.231531803663888; 5.304224424266836; 4.398245271908235; 3.5153584475802684; 2.648120194574829; 4.659588256936012; 3.6157474992756002; 2.606078699642392; 1.6536313658180968; 0.8437657368861691; 3.12204897701958; 2.006712031099962; 1.0060833495623025; 0.9238046941647666; 1.8372891873042048; 3.255033539264831; 0.6814921661340044
images\BSR\BSDS500\test\140088.jpg; 6.071538237156109; 5.469163042389193; 4.8570792168579; 4.268133035798165; 3.6824724475487844; 4.8461338098858056; 4.140565897921647; 3.4282226900847568; 2.738425687294165; 2.0669199819795594; 3.6608472837224952; 2.837715614871157; 2.059940626084208; 1.3170916499854108; 0.7051134760566301; 2.4826699431473824; 1.611966281655165; 0.8377612514116675; 0.7599550090396536; 1.433373857345531; 2.913608286301252; 0.8013126085243648
images\BSR\BSDS500\test\14085.jpg; 7.309814605689921; 6.546370656503157; 5.80904756714452; 5.082735946577543; 4.369410795862411; 5.794213683898974; 4.926582883747904; 4.074115437313087; 3.234135382367186; 2.4120879999283127; 4.341244153397763; 3.35058525140622; 2.3985148280940187; 1.5042102512869753; 0.7913555404467393; 2.92427570248014; 1.8643161162499342; 0.936287030907926; 0.880115955943548; 1.750763349802088; 2.316183353325305; 0.713904297722721
images\BSR\BSDS500\test\14092.jpg; 7.3655987024703435; 6.610645876510857; 5.858327080016017; 5.122960235488099; 4.393198967065989; 5.847097189837303; 4.963392994213545; 4.08970290629548; 3.2398738137090954; 2.401602184396584; 4.371428959131821; 3.367029823005626; 2.392180916085845; 1.4550646925053488; 0.7318418101671801; 2.9157177460004893; 1.828803754301727; 0.886213886996017; 0.7992670203746057; 1.53905946702218; 2.2642550521563023; 0.6481696130942853
images\BSR\BSDS500\test\141012.jpg; 6.945074749746008; 6.228624408798363; 5.521781662016463; 4.840957982699493; 4.167426870091697; 5.52156288078437; 4.709694994813181; 3.891273864786308; 3.1200852086482005; 2.3679072566782846; 4.167218243538172; 3.240467561041781; 2.3690043299650045; 1.5903462491303464; 1.071640598171579; 2.8524237554996468; 1.905850559149784; 1.1688719245277546; 1.105669001695028; 1.7488433814580318; 2.420278588795877; 1.0603339305745105
images\BSR\BSDS500\test\141048.jpg; 5.009586164746162; 4.56452443974952; 4.125290308311551; 3.68713088427633; 3.2632388266310883; 4.080040384315078; 3.5591454413744485; 3.0423985609623396; 2.563249992563309; 2.093458839475087; 3.170498959065452; 2.5941258648425123; 2.0532662344791124; 1.5761858299513531; 1.2653494419500113; 2.317428235546174; 1.7316976489043294; 1.2938263816579725; 1.2474077275858104; 1.6240463052593583; 4.919582422077823; 2.021410611197971
images\BSR\BSDS500\test\145059.jpg; 8.488717848150868; 7.622460407376812; 6.755338061512633; 5.916014573322777; 5.082607846384173; 6.747466534772391; 5.735293326055296; 4.7460196345443055; 3.7739625886575894; 2.828643120969426; 5.066410613967582; 3.916810196554433; 2.8218772960630076; 1.79431199222468; 0.9827180217504626; 3.4215670726308467; 2.217267011432464; 1.1675889086715274; 0.9857494351096687; 1.563909597813163; 3.3233701826523903; 1.09746885817319
images\BSR\BSDS500\test\145079.jpg; 6.033899453861808; 5.443161182848654; 4.8348541147987705; 4.2447955963438275; 3.670824614255961; 4.835072556931225; 4.128896003507938; 3.4392876215216592; 2.7783771607925942; 2.1459108226207153; 3.67080383005758; 2.880233428491632; 2.14831052181182; 1.4783129372164152; 1.0072418561517935; 2.553236047418075; 1.7500555659495214; 1.1016521255685086; 1.0296266603890354; 1.5386331844004335; 4.019247104704307; 1.015449927481763
images\BSR\BSDS500\test\146074.jpg; 7.491508532794236; 6.746137447600155; 5.996201291493102; 5.255335691584222; 4.529365135443573; 5.961725167249553; 5.0779758929335985; 4.204399282277576; 3.35444806044714; 2.52628547820327; 4.461647352778851; 3.462030965013737; 2.4936960798427643; 1.5620379871128016; 0.7786418709108626; 2.999296517008967; 1.9163246085950225; 0.9301742806696087; 0.841940424675295; 1.6814825206276; 3.0156480879436143; 0.606906671346515
images\BSR\BSDS500\test\147077.jpg; 6.0286445939533495; 5.440115286535567; 4.860482759262622; 4.296862725314106; 3.7469025135196157; 4.808950960977987; 4.132721542296193; 3.470705923060523; 2.8321351841974556; 2.216482667749255; 3.6455939690328787; 2.883892438696594; 2.1658414559846286; 1.5083445733657794; 1.0209056668089138; 2.517952805783078; 1.7280754259142554; 1.0741697949065072; 1.0176375382681113; 1.5851634589421248; 1.735708479683087; 0.8878963983907515
images\BSR\BSDS500\test\147080.jpg; 8.559392122996979; 8.056313989585899; 7.548387559618991; 7.056765199170116; 6.572240277409483; 6.797414897057882; 6.20694773553248; 5.626545683018843; 5.057520804452843; 4.508503720300116; 5.092840164271531; 4.423991448393847; 3.780421380505592; 3.169814290216031; 2.6862199694470674; 3.4365319643096206; 2.7244611916497155; 2.0912408226600365; 1.9995789529402583; 2.407416507321889; 4.1248670484208505; 0.8155008416230433
images\BSR\BSDS500\test\15011.jpg; 7.05196886767866; 6.336309896620497; 5.6196389252651375; 4.909302345489581; 4.2290079194931804; 5.609623356430931; 4.7593251516773885; 3.942415212145988; 3.143261113077294; 2.358723195824803; 4.208753453302511; 3.259565579530562; 2.349581333452034; 1.490042460969998; 0.8205128474258852; 2.8502259324632764; 1.8443123374628125; 0.9678424598558493; 0.8640126830587356; 1.5518938579337527; 1.4608601928408345; 0.7380486279270237
